id,text,expected_intent,expected_sentiment,expected_escalation
1,I spent 50 dollars at the supermarket,FINANCIAL_TRANSACTION,NEUTRAL,false
2,Add rice and milk to my shopping list,SHOPPING_LIST,NEUTRAL,false
3,Remind me tomorrow at 9 to call the doctor,REMINDER,NEUTRAL,false
4,Schedule a meeting with Ana for Friday afternoon,CALENDAR,NEUTRAL,false
5,What is the weather forecast for tomorrow?,WEATHER,NEUTRAL,false
6,"Thanks, that worked perfectly",GENERAL_CHAT,SATISFIED,false
7,I don't understand what I need to do now,GENERAL_CHAT,CONFUSED,false
8,This is the third time the assistant failed to complete my request,GENERAL_CHAT,FRUSTRATED,true
9,"The assistant service is unacceptable, and I want human support now",GENERAL_CHAT,ANGRY,true
10,Can you help me with something?,GENERAL_CHAT,NEUTRAL,false
11,Transfer 25 dollars to my savings account,FINANCIAL_TRANSACTION,NEUTRAL,false
12,My card was charged twice,FINANCIAL_TRANSACTION,FRUSTRATED,true
13,Please pay my electricity bill,FINANCIAL_TRANSACTION,NEUTRAL,false
14,I do not recognize this purchase,FINANCIAL_TRANSACTION,CONFUSED,true
15,Send 40 euros to Maria,FINANCIAL_TRANSACTION,NEUTRAL,false
16,My payment was declined and this is frustrating,FINANCIAL_TRANSACTION,FRUSTRATED,false
17,I need a refund for this subscription,FINANCIAL_TRANSACTION,NEUTRAL,true
18,What is my account balance?,FINANCIAL_TRANSACTION,NEUTRAL,false
19,Freeze my card immediately,FINANCIAL_TRANSACTION,NEUTRAL,true
20,Make a payment this Friday,FINANCIAL_TRANSACTION,NEUTRAL,false
21,I am confused about why my bank transfer is still pending,FINANCIAL_TRANSACTION,CONFUSED,false
22,Cancel the transfer I just made,FINANCIAL_TRANSACTION,NEUTRAL,true
23,I am confused because the invoice amount looks wrong,FINANCIAL_TRANSACTION,CONFUSED,true
24,Add apples to my grocery list,SHOPPING_LIST,NEUTRAL,false
25,Put toothpaste on the shopping list,SHOPPING_LIST,NEUTRAL,false
26,Add a birthday gift for my sister to my shopping list,SHOPPING_LIST,NEUTRAL,false
27,Add coffee beans and filters to my list,SHOPPING_LIST,NEUTRAL,false
28,Remove bananas from the grocery list,SHOPPING_LIST,NEUTRAL,false
29,Create a list for the weekend barbecue,SHOPPING_LIST,NEUTRAL,false
30,Add cat food to my shopping list,SHOPPING_LIST,NEUTRAL,false
31,I am not sure what I still need to buy,SHOPPING_LIST,CONFUSED,false
32,Add batteries to the list,SHOPPING_LIST,NEUTRAL,false
33,Remember to buy a new phone charger,REMINDER,NEUTRAL,false
34,Put sunscreen on my travel shopping list,SHOPPING_LIST,NEUTRAL,false
35,Add ingredients for pasta tonight,SHOPPING_LIST,NEUTRAL,false
36,I cannot find my shared grocery list,SHOPPING_LIST,FRUSTRATED,false
37,Remind me to take medicine at 8 PM,REMINDER,NEUTRAL,false
38,Set a reminder to call Dad tomorrow,REMINDER,NEUTRAL,false
39,Remind me in two hours to stretch,REMINDER,NEUTRAL,false
40,Do not let me forget the rent payment,REMINDER,NEUTRAL,false
41,Remind me every Monday to submit the report,REMINDER,NEUTRAL,false
42,Set an alarm for my dentist appointment,REMINDER,NEUTRAL,false
43,Remind me to water the plants this evening,REMINDER,NEUTRAL,false
44,I need a reminder for Ana's birthday,REMINDER,NEUTRAL,false
45,Remind me next week to renew my passport,REMINDER,NEUTRAL,false
46,Set a reminder for the delivery window,REMINDER,NEUTRAL,false
47,Remind me to bring the documents,REMINDER,NEUTRAL,false
48,Why did my reminder not go off?,REMINDER,FRUSTRATED,false
49,Remind me to check in for my flight,REMINDER,NEUTRAL,false
50,Book a meeting with the sales team on Tuesday,CALENDAR,NEUTRAL,false
51,Move my lunch with Pedro to noon,CALENDAR,NEUTRAL,false
52,What is on my calendar tomorrow?,CALENDAR,NEUTRAL,false
53,Cancel the design review,CALENDAR,NEUTRAL,false
54,Schedule a doctor visit next month,CALENDAR,NEUTRAL,false
55,Find a free hour for a team sync,CALENDAR,NEUTRAL,false
56,My calendar invitation disappeared,CALENDAR,FRUSTRATED,false
57,Create an event for the concert on Saturday,CALENDAR,NEUTRAL,false
58,Reschedule the interview to Thursday,CALENDAR,NEUTRAL,false
59,I am not sure when my next appointment is,CALENDAR,CONFUSED,false
60,Block time for focused work,CALENDAR,NEUTRAL,false
61,Invite Lucas to the planning meeting,CALENDAR,NEUTRAL,false
62,I need to share my calendar with my manager,CALENDAR,NEUTRAL,false
63,Will it rain this afternoon?,WEATHER,NEUTRAL,false
64,What is the temperature outside?,WEATHER,NEUTRAL,false
65,Do I need an umbrella tomorrow?,WEATHER,NEUTRAL,false
66,Give me the forecast for Rio this weekend,WEATHER,NEUTRAL,false
67,Is there a storm warning nearby?,WEATHER,NEUTRAL,false
68,What time will the sun set today?,WEATHER,NEUTRAL,false
69,How windy will it be tonight?,WEATHER,NEUTRAL,false
70,Will it be hot enough for the beach?,WEATHER,NEUTRAL,false
71,What was the weather in Sao Paulo yesterday?,WEATHER,NEUTRAL,false
72,Is the air quality good today?,WEATHER,NEUTRAL,false
73,Will there be frost in the morning?,WEATHER,NEUTRAL,false
74,Tell me the humidity level,WEATHER,NEUTRAL,false
75,The forecast was wrong again,WEATHER,FRUSTRATED,false
76,Hello how are you today?,GENERAL_CHAT,NEUTRAL,false
